year	genre	author	shorttitle
22	mystery and detective fiction	Oppenheim, E: P. 	 Evil shepherd
22	mystery and detective fiction	Ostrander. I. E. 	 Above suspicion
22	mystery and detective fiction	Ostrander, I. E. 	 McCarty Incog
22	mystery and detective fiction	Ostrander. I. E. 	 Tattooed arm
22	mystery and detective fiction	Packard, F. L. 	 Doors of the night
22	mystery and detective fiction	Parrish, R. 	 Case and the girl
22	mystery and detective fiction	Porter, R. N. 	 Rest Hollow mystery
22	mystery and detective fiction	Pryoe, A., pseud., and 	 Weekes, R. K. Purple pearl
22	mystery and detective fiction	Punshon, E. R. 	 Bittermeads mystery
22	mystery and detective fiction	Rees, A. J: 	 Moon rock
22	mystery and detective fiction	Regis, J. 	 No. 13 Toronl
22	mystery and detective fiction	Rohmer, 5.. pseud. 	 Fire-Tongue
22	mystery and detective fiction	Sutphen. W: G. 	 Van T. In jeopardy
22	mystery and detective fiction	Taubman-Goldle, V. F. 	 Case of Sir Edward Talbot
22	mystery and detective fiction	Terhune. A. P. 	 Black gold
22	mystery and detective fiction	Terhune. A. P. 	 Black Caesar's clan
22	mystery and detective fiction	Thayer, L. 0. E. D. 	 Je '22)
22	mystery and detective fiction	Thorne, P. and M. 	 Secret toll
22	mystery and detective fiction	Tyson, J: A. 	 Scarlet tanager
22	mystery and detective fiction	Wells, C. 	 Mystery girl
23	historical fiction	Bnchan, J: 	 Midwinter
23	historical fiction	Heyer, G. 	 Great Roxhythe
23	historical fiction	Hope. E. 	 My lady's bargain
23	historical fiction	Marshall. B. G. 	 Torch bearers
23	historical fiction	Aminoff. L. 	 Ambition
23	historical fiction	Gilson. C: J. L: 	 White cockade
23	historical fiction	Orczy, E. 	 Triumph of the Scarlet Pimpernel
23	historical fiction	Mitchison, N. 	 The conquered
23	historical fiction	Harris. C. W. 	 Persephone of Eleusis
23	historical fiction	Snedeker. C. D. 	 Perilous seat
23	historical fiction	Van Santvoord, S. 	 Octavia
23	historical fiction	Babcock. B. 	 Soul of Abe Lincoln
23	historical fiction	Johnston, M. 	 Croatan
23	historical fiction	Strachey, R. 	 Marching on
23	mystery and detective fiction	Balmer, E. 	 Keeban
23	mystery and detective fiction	Bower, B. M., pseud. 	 Voice at Johnnywater
23	mystery and detective fiction	Brenn, G: J. 	 Voices
23	mystery and detective fiction	Brighouse, H. 	 Wrong shadow
23	mystery and detective fiction	Buck, C: N. 	 Alias Red Ryan
23	mystery and detective fiction	Burr, A. R. 	 Wrong move
23	mystery and detective fiction	Camp, C: W. 	 Communicating door
23	mystery and detective fiction	Carlyle. A. 	 Children of chance
23	mystery and detective fiction	Christie, A. 	 Murder on the links
23	mystery and detective fiction	Cohen, 0. R. 	 Jim Hanvey. detective
23	mystery and detective fiction	Dutton, C: J. 	 Shadow on the glass
23	mystery and detective fiction	Farrere. C., pseud. 	 House of the secret
23	mystery and detective fiction	Fletcher, J. S. 	 Charing Cross mystery
23	mystery and detective fiction	Fletcher. J. S. 	 Copper box
23	mystery and detective fiction	Fletcher. J. S. 	 Exterior to the evidence
23	mystery and detective fiction	Fletcher, J. S. 	 Lost Mr Linthwalte
23	mystery and detective fiction	Fletcher, J. S. 	 Markenmore mystery
23	mystery and detective fiction	Fletcher. J. S. 	 Mystery of Lynne Court
23	mystery and detective fiction	Fletcher, J. S. 	 Rippling Ruby
23	mystery and detective fiction	Footner, H. 	 Ramshackle house
23	mystery and detective fiction	Fox. 0: 	 Doom dealer
23	mystery and detective fiction	Freeman, R: A. 	 Singing bone
23	mystery and detective fiction	Garrett, W: 	 Friday to Monday
23	mystery and detective fiction	Gartland. H. 	 Globe Hollow mystery
23	mystery and detective fiction	Gollombe, J. 	 Girl in the fog
23	mystery and detective fiction	Green. A. K. 	 Step on the stair
23	mystery and detective fiction	Gull. C. A. E: R. 	 Cinema city
23	mystery and detective fiction	Hecht. B. 	 Florentine dagger
23	mystery and detective fiction	Heller, F., pseud. 	 Emperor's old clothes
23	mystery and detective fiction	Helm, J. 	 Without clues
23	mystery and detective fiction	Hervey. H. 	 Black Parrot
23	mystery and detective fiction	Hext, H., pseud. 	 Thing at their heels
23	mystery and detective fiction	Lincoln, N. S. 	 Meredith mystery
23	mystery and detective fiction	Locke, G. E. 	 Scarlet macaw
23	mystery and detective fiction	MucHiilay, R. 	 Mystery at Geneva
23	mystery and detective fiction	MacGrath. H. 	 World outside
23	mystery and detective fiction	Machen, A. 	 Three Impostors
23	mystery and detective fiction	McNeile. C. 	 Black gang
23	mystery and detective fiction	Maurice, M. 	 Not in our stars
23	mystery and detective fiction	Oppenheim, E: P. 	 Michael's evil deeds
23	mystery and detective fiction	Oppenheim, E: P. 	 Seven conundrums
23	mystery and detective fiction	Packard. F. L. 	 Four stragglers
23	mystery and detective fiction	Packard, F. L. 	 Jimmie Dale and the phantom clew
23	mystery and detective fiction	Ponte, E. M. 	 Trouble at Pinelands
23	mystery and detective fiction	Post, M. D. 	 Monsieur Jonquelle
23	mystery and detective fiction	Rees. A. J: 	 Island of destiny
23	mystery and detective fiction	Reynolds, G. M. 	 Lost discovery
23	mystery and detective fiction	Rogers, J. T. 	 Once in a red moon
23	mystery and detective fiction	Rowland. H: C. 	 Return of Frank Clamart
23	mystery and detective fiction	Sayers. D. L. 	 Whose body
23	mystery and detective fiction	Scott. R. T: M. 	 Secret service Smith
23	mystery and detective fiction	Snell. E. 	 Yellow seven
23	mystery and detective fiction	Stoker. B. 	 Jewel of seven stars
23	mystery and detective fiction	Stringer. A. J: A. 	 City of peril
23	mystery and detective fiction	Terhune. A. P. 	 The amateur Inn
23	mystery and detective fiction	Terhune. A. P. 	 The pest
23	mystery and detective fiction	Thaycr. L. 	 Sinister mark
23	mystery and detective fiction	Thompson. V. C: 	 Pointed lower
23	mystery and detective fiction	Tracy, L: 	 Pelham affair
23	mystery and detective fiction	Tyson, J: A. 	 Barge of haunted lives
23	mystery and detective fiction	Vance. L: J. 	 Baroque
23	mystery and detective fiction	Wallace, E. 	 Clue of the new pin
24	historical fiction	Caskie, J. A. 	 Figure In the sand
24	historical fiction	Jensen, J. V. 	 Christopher Columbus
24	historical fiction	Laut. A. C. 	 Ouenchless light
24	historical fiction	Bryant, M., and 	 McAnnally, G: H. Chronicles of a great prince
24	historical fiction	Bedford-Jones, H: J. 0. 	 Star woman
24	historical fiction	Davis, w: 5. 	 Beauty of the purple
24	historical fiction	Gerould, G. H. 	 Filibuster
24	historical fiction	Harrington, E. 	 Divine lady
24	historical fiction	Aminoff, L. 	 Success
24	historical fiction	Stllson, C: B. 	 Ace of blades
24	historical fiction	Manzonl, A. 	 The bethrothed
24	historical fiction	Olllvant, A. 	 Devil Dare
24	historical fiction	Mitchison, M. 	 When the bough breaks
24	historical fiction	Cooper. C. R. 	 Last frontier
24	historical fiction	Hooker. F. 	 When Geronlmo rode
24	historical fiction	Marshall, E. 	 Seward‘s folly
24	historical fiction	Header. S. W. 	 Down the big river
24	historical fiction	Page. T: N. 	 Red riders
24	historical fiction	Johnston. M. 	 Slave ship
24	historical fiction	Husband. J. 	 Citadel
24	mystery and detective fiction	Asquith. H. 	 Wind's End
24	mystery and detective fiction	Bailey, H: C. 	 Mr Fortune's practice
24	mystery and detective fiction	Brainah, E. 	 Eyes of Max Carradoa
24	mystery and detective fiction	Bridges, V: 	 Red lodge
24	mystery and detective fiction	Buchan. J: 	 Three hostages
24	mystery and detective fiction	Buck. C: N. 	 Gentleman in pajamas
24	mystery and detective fiction	Burr, A. 	 It. Great house in the park
24	mystery and detective fiction	Chancellor, J: 	 Mystery of Norman's court
24	mystery and detective fiction	Christie, A. 	 Man in the brown suit
24	mystery and detective fiction	Cole, 6: D. H. 	 Brooklyn murders
24	mystery and detective fiction	Creed. S. 	 The shot
24	mystery and detective fiction	Curtiss, P. E. 	 Gay conspirators
24	mystery and detective fiction	Dawson, w. 	 Adventure In the night
24	mystery and detective fiction	Dejeans. E. 	 Double house
24	mystery and detective fiction	Durand, M. 	 Sincerite
24	mystery and detective fiction	Dutton. C: J. 	 House by the road
24	mystery and detective fiction	ElveBtad. S. C. S. 	 Man who plundered the city
24	mystery and detective fiction	Farjeon, J. J. 	 Master criminal
24	mystery and detective fiction	Fletcher, J. S. 	 Heaven-kissed bill
24	mystery and detective fiction	Fletcher, J. S. 	 King versus Wargrave
24	mystery and detective fiction	Fletcher, J. S. 	 Mazaroff mystery
24	mystery and detective fiction	Fletcher, J. S. 	 Safety phi
24	mystery and detective fiction	Fletcher, J. S. 	 Time-worn town
24	mystery and detective fiction	Footner, H. 	 Officer
24	mystery and detective fiction	Forman, H: J. 	 Guilt
24	mystery and detective fiction	Foster. M. 	 Humdrum house
24	mystery and detective fiction	Fox, G: R. 	 Fangs of the serpent
24	mystery and detective fiction	Frank. w. D: 	 Chalk face
24	mystery and detective fiction	Freeman, R. A. 	 Blue scarab
24	mystery and detective fiction	Freeman, 	 It. A. Red thumb-mark
24	mystery and detective fiction	French, J. L:, ed. 	 Great detective stories from Voltaire to Poe
24	mystery and detective fiction	Gluck, S. 	 House of the missing
24	mystery and detective fiction	Gluck, S. 	 White streak
24	mystery and detective fiction	Hanshew, M. E. and T: W. 	 Riddle of the amber ship
24	mystery and detective fiction	Hay. M. 	 Evil vineyard
24	mystery and detective fiction	Hext, H., pseud. 	 Who killed Cock Robin
24	mystery and detective fiction	Ironside, J: 	 Phone booth mystery
24	mystery and detective fiction	Johnson, G. E. 	 Moon country
24	mystery and detective fiction	Jordan, E. G. 	 Lady of Pentlands
24	mystery and detective fiction	Kitchin, F: H. 	 Diversions of Dawson
24	mystery and detective fiction	Lincoln. N. S. 	 Thirteenth letter
24	mystery and detective fiction	Lowndes, M. A. 	 Terriford mystery
24	mystery and detective fiction	MacClure. V: 	 Ark of the covenant
24	mystery and detective fiction	MacGowan, A., and 	 Newberry, P. Mystery woman
24	mystery and detective fiction	Mackall. D. 0: 	 Majestic mystery
24	mystery and detective fiction	Mason. A. E: W. 	 House Of the arrow
24	mystery and detective fiction	Moroso, J: A. 	 Listening man
24	mystery and detective fiction	Mundy. T. 	 Nine unknown
24	mystery and detective fiction	Oakley. N. and J: 	 Clevedon case
24	mystery and detective fiction	Ostrander. I. E. 	 Annihilation
24	mystery and detective fiction	Ostrander. I. E. 	 Bright lights
24	mystery and detective fiction	Ostrander. I. E. 	 Dust to dust
24	mystery and detective fiction	Ostrander. I. E. 	 Handwriting on the wall
24	mystery and detective fiction	Ostrander. I. E. 	 Liberation
24	mystery and detective fiction	Packard, F. L. 	 Locked book
24	mystery and detective fiction	Pocock. D. A. 	 Secret of Hallowdene farm
24	mystery and detective fiction	Praviel. A. 	 Murder of Monsieur Fualdes
24	mystery and detective fiction	Rathbone. C. K. 	 Darkened windows
24	mystery and detective fiction	Reeve, A. B: 	 Atavar
24	mystery and detective fiction	Rohmer. 5.. pseud. 	 Brood or the witch-queen
24	mystery and detective fiction	Rohmer, 5.. pseud. 	 Grey face
24	mystery and detective fiction	Souvestre, P., and 	 Allain, M. Long arm of Fantdmas
24	mystery and detective fiction	Terhune, A. P. 	 Tiger's claw
25	historical fiction	Barbusse, H. 	 Chains
25	historical fiction	Oman, C. 	 Princess Amelia
25	historical fiction	Sheppard, A. T. 	 Brave earth
25	historical fiction	Aminoff, L. 	 Victory
25	historical fiction	Bill. A. H. 	 Clutch of the Corsican
25	historical fiction	Conrad, J. 	 Suspense
25	historical fiction	La Fayette, M. M. 	 Princess of Cleves
25	historical fiction	Prescott, H. F. M. 	 Unhurrying chase
25	historical fiction	Stllson, C: B. 	 Cavalier of Navarre
25	historical fiction	Strachey, J: 	 St L. Madonna ot the barricades
25	historical fiction	Williams, V. 	 Red mass
25	historical fiction	Sabatlni, R. 	 Strolling saint
25	historical fiction	Boyd, J. 	 Drums
25	historical fiction	Merejkowski. D. s. 	 December the fourteenth
25	historical fiction	Presland, Jz, pseud. 	 Dominion
25	historical fiction	Bacheller, I. A. 	 Father Abraham
25	historical fiction	Sabln. E. L. 	 Hhite Indian
25	mystery and detective fiction	Adams, H. 	 Secret of Bogey House
25	mystery and detective fiction	Ames. J. B. 	 Loudon from Laramle
25	mystery and detective fiction	Atkey, B. 	 Pyramid of lead
25	mystery and detective fiction	Balmer, E. 	 That Royle girl
25	mystery and detective fiction	Beeding, F. 	 Seven sleepers
25	mystery and detective fiction	Biggers, E. D. 	 House without a key
25	mystery and detective fiction	Boyle, C. A. 	 Anna's
25	mystery and detective fiction	Brown, A. 	 Mysteries of Ann
25	mystery and detective fiction	Bryant, M. 	 Mrs Fuller
25	mystery and detective fiction	Buck. C: N. 	 Portuguese silver
25	mystery and detective fiction	Chadwlck. C: 	 Cactus
25	mystery and detective fiction	Chamberlain, G: A. 	 Great Van Suttart mystery
25	mystery and detective fiction	chlchester. J: J. 	 The bigamist
25	mystery and detective fiction	Christie, A. 	 Hystery of Chimneys
25	mystery and detective fiction	Christie, A. 	 Poirot Investigates
25	mystery and detective fiction	Cohen. 0. R. 	 Iron chalice
25	mystery and detective fiction	Cole, G: o. H. and M. I. 	 Death of a millionaire
25	mystery and detective fiction	Collins, G. 	 Valley of eyes unseen
25	mystery and detective fiction	Crofts, F. N. 	 Groote Park murder
25	mystery and detective fiction	Douglas. 0. 	 Grand Inquisitor
25	mystery and detective fiction	Dutton, C: J. 	 Second bullet
25	mystery and detective fiction	Emery, J. I. 	 tiger of Baragunga
25	mystery and detective fiction	Evans, H. 	 Murder club
25	mystery and detective fiction	Farjeon. J. J. 	 Uninvited guests
25	mystery and detective fiction	Farnol, J. 	 Loring mystery
25	mystery and detective fiction	Fielding, A. 	 Eames'Erskine case
25	mystery and detective fiction	Fletcher, J. S. 	 Annexation society
25	mystery and detective fiction	Fletcher, J. S. 	 Secret of the Barbican
25	mystery and detective fiction	Fletcher, J. S. 	 Holves and the lamb
25	mystery and detective fiction	Footner, H. 	 Under dogs
25	mystery and detective fiction	Freeman, R: A. 	 Mystery of Angelina Frood
25	mystery and detective fiction	Freeman, R: A. 	 Shadow of the wolf
25	mystery and detective fiction	French, J. L:, ed. 	 Great detective storiea from Dickens to Qaboriau
25	mystery and detective fiction	Fuller, V., pseud. 	 Long green gaze
25	mystery and detective fiction	Garrett. H: A. 	 Doctor Rlcardo
25	mystery and detective fiction	Gaunt, M. K. 8. 	 Mummy moves
25	mystery and detective fiction	Gerould, G. H. 	 Midsummer mystery
25	mystery and detective fiction	Gluck, S. 	 Green blot
25	mystery and detective fiction	Cluck, S. 	 Thieves' honor
25	mystery and detective fiction	Graeme, B. 	 Blackshirt
25	mystery and detective fiction	Hiiy, J. 	 Bellamy case
25	mystery and detective fiction	Hext, H., pseud. 	 The monster
25	mystery and detective fiction	Hume. F. 	 Blue talisman
25	mystery and detective fiction	Jepson, S. 	 Rogues and diamonds
25	mystery and detective fiction	Jordan, E. G. 	 Red Riding Hood
25	mystery and detective fiction	Knevels, G. 	 Octagon house
25	mystery and detective fiction	Lee, J. B. 	 Dead right
25	mystery and detective fiction	Lincoln, N. s. 	 Missing Initial
25	mystery and detective fiction	Lowndes, H. A. 	 Afterwards
25	mystery and detective fiction	McAllister, A. 	 Deductions of Colonel Gore
25	mystery and detective fiction	Macdonald, P. 	 The rasp
25	mystery and detective fiction	MacQowan. A., and 	 Newberry, P. Shaken down
25	mystery and detective fiction	Machard, A. 	 Holf man
25	mystery and detective fiction	Mackworth, J: D. 	 Axe Is laid
25	mystery and detective fiction	Marshall, A. 	 Hystery of Redmarsh farm
25	mystery and detective fiction	MofCett. C. L. 	 Seine mystery
25	mystery and detective fiction	Muir, A: 	 Ihird warning
25	mystery and detective fiction	Mundy. T. 	 0m
25	mystery and detective fiction	Oppenheim, E: P. 	 Stolen idols
25	mystery and detective fiction	Ostrander, I. E. 	 Black joker
25	mystery and detective fiction	Ostrander, I. E. 	 Neglected clue
25	mystery and detective fiction	Packard, F. L. 	 Broken waters
25	mystery and detective fiction	Phillpotts, E. 	 Voice from the dark
25	mystery and detective fiction	Rees. A. J. 	 Cup of silence
25	mystery and detective fiction	Reeve, A. B: 	 Craig Kennedy on the farm
25	mystery and detective fiction	Reeve. A. B: 	 Fourteen points
25	mystery and detective fiction	Reynolds, 0. H. 	 Spell of Sarnia
25	mystery and detective fiction	Hideout, H: M. 	 Dulcarnon
25	mystery and detective fiction	Kinehart, M. 	 Red lamp
25	mystery and detective fiction	Roche, A. S. 	 Pleasure buyers
25	mystery and detective fiction	Rohmer. 5., pseud. 	 Dream detective
25	mystery and detective fiction	Scott, R. T: H. 	 Black magician
25	mystery and detective fiction	Stlnson, H. 	 Fingerprints
25	mystery and detective fiction	Stowell, H: A. 	 Mystery of the singing walls
25	mystery and detective fiction	Sullivan, A. 	 Jade god
25	mystery and detective fiction	Terhune, A. P. 	 Runaway bag
25	mystery and detective fiction	Thayer, L. 	 Doctor
25	mystery and detective fiction	Wallace. E. 	 Hairy arm
25	mystery and detective fiction	Hells, c. 	 Anything but the truth
25	mystery and detective fiction	wells, C. 	 Daughter of the house
26	historical fiction	Barbusse, H. 	 Chains
26	historical fiction	Caskle, J. A. 	 Figure in the sand
26	historical fiction	Jensen, J. V. 	 Christopher Columbus
26	historical fiction	Chapman, H. J. 	 Lords of Acadia
26	historical fiction	Bryant, M., and 	 McAnnally. G: H. Chronicles of a great prince
26	historical fiction	Ellerbe, R. L. 	 Ropes of sand
26	historical fiction	Cody. H. A. 	 Fighting-slogan
26	historical fiction	Curwood. J. 0. 	 Black Hunter
26	historical fiction	Gibbs. G: F. 	 Flame of courage
26	historical fiction	Parker, G. 	 Power and the glory
26	historical fiction	Smith, A. D. H. 	 Doom trail
26	historical fiction	Davis, w: 5. 	 Beauty of the purple
26	historical fiction	Gerould. G. H. 	 Filibuster
26	historical fiction	Bnrrington. E. 	 Divine lady
26	historical fiction	Beck, L. A. (E. 	 Barrington, pseud.) The exquisite Perdlta
26	historical fiction	Bennett, A. H. 	 The prince's love affair
26	historical fiction	Bishop. F.. and 	 Brodeur, A. G. Altar of the legion
26	historical fiction	Buchan. J: 	 Midwinter
26	historical fiction	Douglas. A. 	 For the king
26	historical fiction	Heyer, G. 	 Great Roxhythe
26	historical fiction	Jenkins. 8. A. 	 The Bracegirdle
26	historical fiction	Johnston, M. 	 Silver cross
26	historical fiction	Markham, V. 	 The scamp
26	historical fiction	Marshall, B. G. 	 Torch bearers
26	historical fiction	Oman. C. 	 Princess Amelia
26	historical fiction	Paterson. I. 	 Fourth queen
26	historical fiction	Sheppard, A. T. 	 Brave earth
26	historical fiction	Benet. S. V. 	 Spanish bayonet
26	historical fiction	Aminoff, L. 	 Ambition
26	historical fiction	Aminoff, L. 	 Love
26	historical fiction	Aminoff. L. 	 Success
26	historical fiction	Aminoff, L. 	 Triumph
26	historical fiction	Aminoff, L. 	 Victory
26	historical fiction	Bill, A. H. 	 Clutch of the Corslcan
26	historical fiction	Bill. A. H. 	 Highroads of peril
26	historical fiction	Conrad, J. 	 Suspense
26	historical fiction	Gllson. C: J. L: 	 White cockade
26	historical fiction	Gobineau, J. A. 	 Lucky prisoner
26	historical fiction	La Fayette, M. M. 	 Princess of Cleves
26	historical fiction	Landau, M. A. 	 Ninth thermldor
26	historical fiction	Orczy, E. 	 Castles In the air
26	historical fiction	Orczy, E. 	 Triumph of the Scarlet Pimpernel
26	historical fiction	Prescott, H. F. M. 	 Unhurrying chase
26	historical fiction	Stilson. C: B. 	 Ace of blades
26	historical fiction	Stilson. C: B. 	 Cavalier of Navarre
26	historical fiction	Strachey, J: 	 St L. Madonna of the barricades
26	historical fiction	Williams, V. 	 Red mass
26	historical fiction	Mitchlson, N. 	 The conquered
26	historical fiction	Harris. C. w. 	 Persephone of Eleusls
26	historical fiction	Snedeker, C. D. 	 Perilous seat
26	historical fiction	Dowaley. w. 0. 	 Travelling men
26	historical fiction	Manzonl. A. 	 The bethrothed
26	historical fiction	Sabatlni. R. 	 Strolling saint
26	historical fiction	Banks. P. 	 Black ivory
26	historical fiction	Boyd, J. 	 Drums
26	historical fiction	Morrow, H. 	 On to Oregon
26	historical fiction	Morrow. H. 	 We must march
26	historical fiction	Whalen, H. w. 	 Golden squaw
26	historical fiction	Mitchlson. M. 	 When the bough breaks
26	historical fiction	Van Santvoord, S. 	 Octavia
26	historical fiction	Krasnov, P. N. 	 From double eagle to red flag.
26	historical fiction	Merejkowski, D. S. 	 December the fourteenth
26	historical fiction	Underwood. E. w. 	 The penitent
26	historical fiction	Eddison, E. R, 	 Styrblorn the Strong
26	historical fiction	Broster, D. K. 	 Flight of the heron
26	historical fiction	Duke, w. 	 Heir to kings
26	historical fiction	Presland, J:, pseud. 	 Dominion
26	historical fiction	Larreta, E. 	 Glory of Don Ramlro
26	historical fiction	Skinner. C. L. 	 White Leader
26	historical fiction	Babcock. B. 	 Soul of Abe Lincoln
26	historical fiction	Bacheller, I. A. 	 Father Abraham
26	historical fiction	Bacheller. 1. A. 	 In the days 01 ruui Richard
26	historical fiction	Cooper. C. R. 	 Last frontier
26	historical fiction	Dye. E. 	 Conquest
26	historical fiction	Falrbank. J. 	 CortlandU of Washington Square
26	historical fiction	Hergeshelmer, J. 	 Ballsand
26	historical fiction	Hooker. F. 	 When Geronlmo rode
26	historical fiction	Hough, E. 	 Covered wagon
26	historical fiction	Johnston, M. 	 Croatan
26	historical fiction	Marshall, B. 0. 	 Old Hickory's prisoner
26	historical fiction	Marshall. E. 	 Seward's folly
26	historical fiction	Masters, E. 1,. 	 Children of the market place
26	mystery and detective fiction	Adams, H. 	 Crooked Up
26	mystery and detective fiction	Adams, H. 	 Secret of Bogey House
26	mystery and detective fiction	Adams, H. 	 Sloane Square mystery
26	mystery and detective fiction	Allain. M. 	 Juve in the dock
26	mystery and detective fiction	Allain, M. 	 Lord of Terror
26	mystery and detective fiction	Ames, J. B. 	 Loudqp from Laramie
26	mystery and detective fiction	Angellotti, M. P. 	 Three black bagrs
26	mystery and detective fiction	Atkey. B. 	 Pyramid of lead
26	mystery and detective fiction	Bacon, J. D. 	 Medusa's head
26	mystery and detective fiction	Bailey, H: C. 	 Mr Fortune‘s practice
26	mystery and detective fiction	Bailey. H: C. 	 Mr Fortune's trials
26	mystery and detective fiction	Balmer. E. 	 Keebau
26	mystery and detective fiction	Balmer. E. 	 That Royle girl
26	mystery and detective fiction	Barry. C: 	 Detective's holiday
26	mystery and detective fiction	Seeding, F. 	 Little white hag
26	mystery and detective fiction	Beeding, F. 	 Seven sleepers
26	mystery and detective fiction	Belloc, H. 	 Emerald of Catherine the Great
26	mystery and detective fiction	Benet. W: R. 	 First person singular
26	mystery and detective fiction	Biggers, E. D. 	 Chinese parrot
26	mystery and detective fiction	Biggers, E. D. 	 Fifty candles
26	mystery and detective fiction	Biggers, E. D. 	 House without a key
26	mystery and detective fiction	Blnns. 0. 	 Lady of North Star
26	mystery and detective fiction	Blake. G. 	 Old king's treasure
26	mystery and detective fiction	Bonner, 0. 	 Leading lady
26	mystery and detective fiction	Booth. C: G. 	 Sinister house
26	mystery and detective fiction	Bower, B. M., pseud. 	 Voice at Johnnywater
26	mystery and detective fiction	Boyle, C. A. 	 Anna's
26	mystery and detective fiction	Boyle, C. N. 	 What became of Mr Desmond
26	mystery and detective fiction	Bramah, E. 	 Eyes of Max Carrados
26	mystery and detective fiction	Brenn. G: J. 	 Voices
26	mystery and detective fiction	Bridges. V: 	 Greensea Island
26	mystery and detective fiction	Bridges, V: 	 Red lodge
26	mystery and detective fiction	Brighouse, H. 	 Wrong shadow
26	mystery and detective fiction	Brown, A. 	 Mysteries of Ann
